# Volcado crudo Ui24R
# fecha: 2026-09-08T17:00:25.941Z
# host: 192.168.0.49
# handshake: 10815005726458572105:5:5:websocket
# url websocket: ws://192.168.0.49/socket.io/1/websocket/10815005726458572105
# duracion objetivo: 20s
# NOTA: esta sesion no envio ningun comando de escritura. Solo heartbeat "2::".

    66ms [MSG3] SETS^i.7.gate.prname^Voz bruno
    66ms [MSG3] SETS^i.7.name^VOZ MARCOS
    66ms [MSG3] SETS^i.7.src^hw.7
    66ms [MSG3] SETS^i.7.scsrc^ua.7
    66ms [MSG3] SETS^i.7.instrument^
    66ms [MSG3] SETS^i.7.eq.prname^Voz bruno
    66ms [MSG3] SETS^i.7.iosyscmd^
    66ms [MSG3] SETS^i.7.iosysname^
    66ms [MSG3] SETS^i.6.gate.prname^
    66ms [MSG3] SETS^i.6.dyn.prname^
    66ms [MSG3] SETS^i.6.name^
    66ms [MSG3] SETS^i.6.eq.prname^
    66ms [MSG3] SETS^i.6.iosysname^
    66ms [MSG3] SETS^i.6.iosyscmd^
    66ms [MSG3] SETS^i.6.instrument^
    66ms [MSG3] SETS^i.6.src^hw.6
    66ms [MSG3] SETS^i.6.scsrc^ua.6
    66ms [MSG3] SETS^i.1.eq.prname^
    66ms [MSG3] SETS^i.1.instrument^
    66ms [MSG3] SETS^i.1.scsrc^ub.1
    66ms [MSG3] SETS^i.1.src^hw.1
    66ms [MSG3] SETS^i.1.dyn.prname^
    66ms [MSG3] SETS^i.1.gate.prname^
    66ms [MSG3] SETS^i.1.name^BAJO OKU
    66ms [MSG3] SETS^i.1.iosyscmd^
    66ms [MSG3] SETS^i.1.iosysname^
    66ms [MSG3] SETS^i.0.dyn.prname^
    66ms [MSG3] SETS^i.0.eq.prname^
    66ms [MSG3] SETS^i.0.gate.prname^
    66ms [MSG3] SETS^i.3.gate.prname^
    66ms [MSG3] SETS^i.3.iosysname^
    66ms [MSG3] SETS^i.3.src^hw.3
    66ms [MSG3] SETS^i.3.scsrc^ub.3
    66ms [MSG3] SETS^i.3.instrument^
    66ms [MSG3] SETS^i.3.name^GTR BELTRAN
    66ms [MSG3] SETS^i.3.iosyscmd^
    66ms [MSG3] SETS^i.3.dyn.prname^
    66ms [MSG3] SETS^i.3.eq.prname^
    66ms [MSG3] SETS^i.2.gate.prname^
    66ms [MSG3] SETS^i.2.instrument^
    66ms [MSG3] SETS^i.2.src^hw.2
    66ms [MSG3] SETS^i.2.scsrc^ub.2
    66ms [MSG3] SETS^i.2.name^GRT BRUNO
    66ms [MSG3] SETS^i.2.iosysname^
    66ms [MSG3] SETS^i.2.iosyscmd^
    66ms [MSG3] SETS^i.2.dyn.prname^
    66ms [MSG3] SETS^i.2.eq.prname^Acoustic 1
    66ms [MSG3] SETS^m.name^MASTER
    66ms [MSG3] SETS^settings.block.pass^
    66ms [MSG3] SETS^settings.udpmsg^
    66ms [MSG3] SETS^settings.udpcoms^[]
    66ms [MSG3] SETS^settings.cascade.remote^
    66ms [MSG3] SETS^var.testcode^
    66ms [MSG3] SETS^var.mtk.rec.session^
    66ms [MSG3] SETS^var.rta^i.2
    66ms [MSG3] SETS^var.afsdata^fstack;;v1,4224.9633789062,-6.0000000000,7.0000000000,0,-53.8810386658,8,23,0,0,2,0,v1:v1,376.4693603516,-6.0000000000,7.0000000000,1,-59.8350601196,9,23,0,0,2,0,v1;fstack/fstack;;;fstack/fstack;;v1,199.9823455811,-6.0000000000,7.0000000000,1,-59.3547363281,17,23,0,0,2,0,v1;fstack/fstack;;;fstack/fstack;;;fstack/fstack;;;fstack/fstack;;;fstack/fstack;;;fstack/fstack;;;fstack/fstac…[+42B]
    67ms [MSG4] SETS^var.currentPlaylist^
    67ms [MSG4] SETS^var.currentTrack^
    67ms [MSG4] SETS^schema^6
